precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TUDORACHE DANIEL-PARTIDUL SOCIAL DEMOCRAT-voturi","CONSTANTIN IOANA-FELICIA-PARTIDUL MIȘCAREA POPULARĂ-voturi","NENOVICI AMALIA-PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","ALBERTS ADINA-MAGDALENA-ALIANȚA PRO BUCUREȘTI 2020-voturi","MECHNO CRINA-VERONICA-PARTIDUL VERDE-voturi","MUSTĂREAŢĂ MĂDĂLINA-ANDREEA-PARTIDUL SOCIAL DEMOCRAT INDEPENDENT-voturi","BAHMUŢEANU ADRIANA-CRISTINA-PARTIDUL ECOLOGIST ROMÂN-voturi","GEREA ANDREI-DOMINIC-PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","CIULU MIOARA-SABINA-PARTIDUL FORȚA IDENTITĂȚII NAȚIONALE-voturi","CULEA MARIAN-ORLANDO-PARTIDUL ADER LA DEMOCRAŢIE, EDUCAŢIE ŞI RECONSTRUCŢIE-voturi","ONORIU EMANUEL-MIȘCAREA PATRIOȚILOR ROMÂNI-voturi","LAZĂR-ŞERBĂNESCU JAQUELINE-MARILENA-PARTIDUL ROMÂNIEI EUROPENE-voturi","CICEU GABRIEL-CIPRIAN-PARTIDUL RE:START ROMÂNIA-voturi","TOADER FLORIN-PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-voturi","MAMOC REMUS-BOGDAN-PARTIDUL ROMÂNIA MARE-voturi","ARMAND CLOTILDE-MARIE-BRIGITTE-ALIANȚA USR PLUS-voturi","CURIC ELENA-PARTIDUL NAȚIUNEA ROMÂNĂ-voturi","DÎRLĂU ANDREI-EMIL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BUCURA DANIEL-voturi","SCHINAGEL-COSTEA TUDOR-HELMUT-voturi"
42,"MUNICIPIUL BUCUREŞTI","COLEGIUL NAŢIONAL DE INFORMATICĂ ”TUDOR VIANU”",59,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:50:01",1137,1056,55,8,18,470,444,1,8,17,462,8,1200,730,116,34,7,15,1,1,9,3,0,0,1,0,0,0,3,250,1,4,11,6
42,"MUNICIPIUL BUCUREŞTI","COLEGIUL NAŢIONAL DE MUZICĂ ”GEORGE ENESCU”",74,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:50:01",1065,1026,33,4,2,432,422,4,4,2,418,14,1200,768,130,35,5,9,4,0,3,1,3,1,1,0,0,0,3,203,2,3,13,2
42,"MUNICIPIUL BUCUREŞTI","COLEGIUL NAŢIONAL DE MUZICĂ ”GEORGE ENESCU”",75,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:50:01",1289,1252,19,16,2,471,449,4,16,2,452,19,1400,929,150,29,6,4,4,3,8,3,2,2,0,0,1,0,1,216,1,3,15,4
42,"MUNICIPIUL BUCUREŞTI","COLEGIUL NAŢIONAL ”I.L. CARAGIALE”",60,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:50:01",962,907,38,12,5,397,374,6,12,5,392,5,1000,603,114,26,7,5,6,0,3,0,0,7,1,0,0,0,3,212,0,0,8,0
42,"MUNICIPIUL BUCUREŞTI","COLEGIUL NAŢIONAL ”I.L. CARAGIALE”",61,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:50:01",1096,1084,0,12,0,505,493,0,12,0,491,8,1200,701,174,36,7,6,7,2,9,2,0,0,0,0,0,0,3,232,1,3,6,3
42,"MUNICIPIUL BUCUREŞTI","COLEGIUL NAŢIONAL ”ION NECULCE”",116,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:50:01",1530,1481,19,23,7,708,678,0,23,7,685,12,1600,96,228,62,8,11,2,1,3,2,0,0,0,2,0,2,3,343,1,4,12,1
42,"MUNICIPIUL BUCUREŞTI","COLEGIUL NAŢIONAL ”ION NECULCE”",117,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:50:01",1472,1415,48,9,0,591,582,1,8,0,579,9,1600,1008,199,44,3,16,8,0,11,2,0,1,1,0,1,0,3,275,0,5,5,5
42,"MUNICIPIUL BUCUREŞTI","COLEGIUL NAŢIONAL ”ION NECULCE”",118,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:50:01",1711,1667,18,21,5,796,770,0,21,5,775,19,1800,1004,263,60,14,15,14,0,5,2,5,0,0,1,0,3,2,365,0,3,15,8
42,"MUNICIPIUL BUCUREŞTI","COLEGIUL NAŢIONAL ”ION NECULCE”",119,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:50:01",1522,1500,10,5,7,681,668,1,5,7,665,16,1600,919,204,56,6,19,7,1,6,0,0,0,1,1,0,2,5,323,1,1,30,2
42,"MUNICIPIUL BUCUREŞTI","COLEGIUL NAŢIONAL ”ION NECULCE”",120,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:50:01",1462,1444,6,10,2,590,577,1,10,2,583,7,1600,1010,237,49,5,12,10,2,8,1,0,0,1,1,2,0,3,223,3,2,21,3
42,"MUNICIPIUL BUCUREŞTI","COLEGIUL NAŢIONAL ”SFÂNTUL SAVA”",78,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:50:01",983,916,51,10,6,352,333,3,10,6,345,3,1000,652,111,37,5,10,5,0,3,0,1,0,0,0,0,1,1,162,1,2,5,1
42,"MUNICIPIUL BUCUREŞTI","COLEGIUL NAŢIONAL ”SFÂNTUL SAVA”",79,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:50:01",1062,988,65,6,3,364,353,2,6,3,280,84,1200,836,89,23,7,5,4,0,3,1,0,0,0,0,0,0,2,133,0,4,8,1
42,"MUNICIPIUL BUCUREŞTI","COLEGIUL NAŢIONAL ”SFÂNTUL SAVA”",80,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:50:01",1172,1152,2,17,1,465,445,2,17,1,453,12,1200,137,122,55,5,8,4,3,7,0,0,0,0,0,0,1,0,230,0,8,8,2
42,"MUNICIPIUL BUCUREŞTI","COLEGIUL NAŢIONAL ”SFÂNTUL SAVA”",77,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:50:01",833,785,35,13,0,301,283,5,13,0,292,9,1000,698,95,17,3,7,4,0,7,0,1,0,0,0,0,0,2,138,1,3,10,4
42,"MUNICIPIUL BUCUREŞTI","COLEGIUL TEHNIC DE ARHITECTURĂ ŞI LUCRĂRI PUBLICE ”IOAN N. SOCOLESCU”",76,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:50:01",972,931,26,15,0,369,354,0,15,0,360,9,1000,631,131,28,8,4,6,1,6,1,0,0,0,1,0,0,2,165,0,2,4,1
42,"MUNICIPIUL BUCUREŞTI","COLEGIUL TEHNIC FEROVIAR ”MIHAI I”",137,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:50:01",1233,1222,0,10,1,418,407,0,10,1,410,8,1400,982,236,26,14,6,8,0,6,1,0,0,0,1,0,2,1,82,1,4,13,9
42,"MUNICIPIUL BUCUREŞTI","COLEGIUL TEHNIC FEROVIAR ”MIHAI I”",138,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:50:01",1190,1175,0,14,1,415,400,0,14,1,405,10,1400,985,227,28,9,4,4,0,6,0,0,0,0,0,0,0,1,115,1,2,8,0
42,"MUNICIPIUL BUCUREŞTI","COLEGIUL TEHNIC MECANIC ”GRIVIŢA”",134,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:50:01",1128,1114,0,14,0,481,467,0,14,0,442,9,1200,143,193,39,10,11,4,1,1,1,3,2,1,1,0,0,3,149,0,4,19,0
42,"MUNICIPIUL BUCUREŞTI","COLEGIUL TEHNIC MECANIC ”GRIVIŢA”",135,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:50:01",1465,1448,4,7,6,590,577,0,7,6,579,11,1600,1010,271,49,4,13,8,0,11,3,0,1,0,0,1,1,3,187,0,4,12,11
42,"MUNICIPIUL BUCUREŞTI","COLEGIUL TEHNIC MECANIC ”GRIVIŢA”",136,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:50:01",1286,1267,5,11,3,523,509,0,11,3,512,11,1400,877,230,53,4,5,6,1,4,1,1,0,0,0,0,0,2,181,0,6,12,6
42,"MUNICIPIUL BUCUREŞTI","COLEGIUL TEHNOLOGIC ”VIACESLAV HARNAJ”",39,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:50:01",1449,1439,0,10,0,646,636,0,10,0,633,13,1600,954,239,56,6,12,5,1,5,4,0,3,2,1,1,0,3,272,2,3,16,2
